Title                                                           15.10.2024 18:00
________________________________________________________________________________

Title


FileName:
  SR_TGA_K001_PP, 15.10.2024 18:00:21
  Sample Weight
SampleID:
  SR_TGA_K001_PP, 4.9292 mg
Texts:

Remarks:
  
Evaluation:
  SR_TGA_K001_PP
Method:
  MT1a SR_PP_cracking
Order Nr:
  
Customer:
  
User:
  thermo
Results:
Curve:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
            471            471         88.390         89.250        4.93701
            472            472         88.470         89.333          4.937
            473            473         88.561         89.417        4.93699
            474            474         88.643         89.500        4.93696
            475            475         88.727         89.583        4.93693
            476            476         88.809         89.667        4.93686
            477            477         88.899         89.750        4.93678
            478            478         88.984         89.833        4.93671
            479            479         89.066         89.917        4.93662
            480            480         89.149         90.000        4.93651
            481            481         89.234         90.083        4.93642
            482            482         89.324         90.167        4.93634
            483            483         89.406         90.250        4.93626
            484            484         89.492         90.333        4.93621
            485            485         89.582         90.417        4.93616
            486            486         89.674         90.500        4.93613
            487            487         89.755         90.583        4.93613
            488            488         89.836         90.667        4.93624
            489            489         89.912         90.750        4.93634
            490            490         90.002         90.833        4.93643
            491            491         90.083         90.917        4.93653
            492            492         90.166         91.000         4.9367
            493            493         90.260         91.083        4.93681
            494            494         90.332         91.167        4.93689
            495            495         90.426         91.250        4.93696
            496            496         90.509         91.333        4.93694
            497            497         90.599         91.417        4.93696
            498            498         90.682         91.500        4.93696
            499            499         90.767         91.583        4.93695
            500            500         90.845         91.667        4.93689
            501            501         90.929         91.750        4.93683
            502            502         91.025         91.833        4.93677
            503            503         91.104         91.917        4.93669
            504            504         91.185         92.000        4.93658
            505            505         91.277         92.083        4.93649
            506            506         91.363         92.167         4.9364
            507            507         91.448         92.250        4.93632
            508            508         91.538         92.333        4.93626
            509            509         91.627         92.417         4.9362
            510            510         91.706         92.500        4.93616
            511            511         91.784         92.583        4.93614
            512            512         91.865         92.667        4.93624
            513            513         91.964         92.750        4.93633
            514            514         92.055         92.833        4.93642
            515            515         92.138         92.917        4.93651
            516            516         92.215         93.000        4.93669
            517            517         92.296         93.083        4.93679
            518            518         92.383         93.167        4.93687
            519            519         92.465         93.250        4.93694
            520            520         92.552         93.333        4.93694
            521            521         92.643         93.417        4.93696
            522            522         92.726         93.500        4.93698
            523            523         92.808         93.583          4.937
            524            524         92.891         93.667        4.93699
            525            525         92.976         93.750        4.93699
            526            526         93.058         93.833        4.93697
            527            527         93.149         93.917        4.93694
            528            528         93.238         94.000        4.93688
            529            529         93.320         94.083        4.93682
            530            530         93.414         94.167        4.93674
            531            531         93.489         94.250        4.93666
            532            532         93.579         94.333        4.93655
            533            533         93.669         94.417        4.93646
            534            534         93.754         94.500        4.93638
            535            535         93.830         94.583         4.9363
            536            536         93.917         94.667        4.93624
            537            537         94.006         94.750        4.93618
            538            538         94.088         94.833        4.93613
            539            539         94.176         94.917        4.93609
            540            540         94.251         95.000        4.93608
            541            541         94.337         95.083        4.93606
            542            542         94.423         95.167        4.93604
            543            543         94.515         95.250        4.93603
            544            544         94.600         95.333        4.93603
            545            545         94.687         95.417        4.93602
            546            546         94.771         95.500        4.93602
            547            547         94.855         95.583        4.93601
            548            548         94.938         95.667        4.93601
            549            549         95.032         95.750        4.93601
            550            550         95.119         95.833          4.936
            551            551         95.201         95.917          4.936
            552            552         95.289         96.000        4.93597
            553            553         95.372         96.083        4.93593
            554            554         95.452         96.167        4.93589
            555            555         95.528         96.250        4.93583
            556            556         95.620         96.333        4.93573
            557            557         95.697         96.417        4.93564
            558            558         95.792         96.500        4.93555
            559            559         95.878         96.583        4.93546
            560            560         95.961         96.667        4.93539
            561            561         96.049         96.750        4.93538
            562            562         96.133         96.833        4.93541
            563            563         96.221         96.917        4.93546
            564            564         96.299         97.000         4.9356
            565            565         96.389         97.083        4.93569
            566            566         96.470         97.167        4.93576
            567            567         96.553         97.250        4.93583
            568            568         96.642         97.333        4.93588
            569            569         96.731         97.417        4.93593
            570            570         96.810         97.500        4.93596
            571            571         96.886         97.583        4.93599
            572            572         96.980         97.667        4.93597
            573            573         97.059         97.750        4.93596
            574            574         97.150         97.833        4.93593
            575            575         97.241         97.917        4.93589
            576            576         97.320         98.000         4.9358
            577            577         97.398         98.083        4.93572
            578            578         97.495         98.167        4.93564
            579            579         97.585         98.250        4.93555
            580            580         97.670         98.333        4.93545
            581            581         97.746         98.417        4.93542
            582            582         97.833         98.500        4.93543
            583            583         97.922         98.583        4.93547
            584            584         98.007         98.667        4.93559
            585            585         98.083         98.750        4.93566
            586            586         98.169         98.833        4.93573
            587            587         98.257         98.917         4.9358
            588            588         98.338         99.000        4.93587
            589            589         98.437         99.083        4.93592
            590            590         98.515         99.167        4.93596
